Negara;2018;2019;2020;2021;2022;Grand Total
Kazakhstan;6786;9781;3735;378;961;21641
Chili;8649;10029;2615;91;925;22309
Libanon;4795;6066;684;165;920;12630
Nepal;12719;18977;3916;61;886;36559
Bulgaria;6884;7652;2575;211;864;18186
Croasia;3545;5257;1388;392;826;11408
Cyprus;1770;3913;650;29;761;7123
Latvia;3319;5278;1860;329;746;11532
Nigeria;4234;3262;471;460;710;9137
UNO;1829;2039;355;127;689;5039
Slovenia;3946;4747;986;66;593;10338
Qatar;1817;1989;225;43;558;4632
Peru;2278;2848;594;66;537;6323
Irak;2107;2933;817;127;517;6501
Luxemburg;1948;1869;228;7;496;4548
Estonia;4915;6644;3099;230;490;15378
Bahrain;2058;2631;373;35;488;5585
Serbia;3475;5600;1287;128;487;10977
Laos;3275;4142;753;7;450;8627
Uzbekistan;2815;3756;1586;68;442;8667
Aljazair / Algeria;3768;5000;792;89;433;10082
Maladewa;2216;2845;516;80;408;6065
Syiria;1753;2322;428;182;404;5089
Malta;1173;1355;238;20;381;3167
Palestina;2271;3082;647;145;373;6518
Sudan;2205;2391;718;101;353;5768
Kenya;2698;2845;429;65;319;6356
Central America;2257;2786;529;87;304;5963
Azerbaijan;1084;1445;374;49;294;3246
Hong Kong;78713;50324;2625;2432;267;134361
Iceland (Islandia);2103;2483;491;38;252;5367
Mongolia;2934;4260;1483;12;252;8941
Libya;1653;2623;548;69;225;5118
Israel;417;924;338;505;221;2405
Georgia;557;768;327;119;215;1986
Kirgistan;995;1332;609;246;212;3394
Moldova;673;1135;385;59;192;2444
Zimbabwe;1071;1742;336;22;188;3359
Armenia;690;1281;258;19;181;2429
Uruguay;1570;2063;845;32;166;4676
Mauritius;3393;4434;611;30;166;8634
Bosnia Herzegovina;959;1354;280;36;159;2788
Ghana;1202;1864;446;80;150;3742
Fiji Islands;1014;1507;369;18;141;3049
Tanzania;1058;1151;349;110;131;2799
Venezuela;1378;1548;300;56;123;3405
Uganda;1038;895;218;22;123;2296
Ekuador;1035;1397;236;16;119;2803
Zambia;310;406;80;5;101;902
Afganistan;1042;703;103;20;99;1967
Swaziland;291;274;33;1;97;696
Kuba;489;764;171;20;95;1539
Costarika;741;899;180;29;92;1941
Ethiopia;478;577;108;43;91;1297
Albania;685;1041;196;26;91;2039
Panama;443;522;106;21;70;1162
Ivory Coast (Pantai Gading);698;729;123;49;67;1666
Macedonia;831;1144;217;9;67;2268
Guatemala;410;503;67;12;59;1051
Senegal;922;686;133;62;58;1861
Bhutan;563;867;194;6;57;1687
Bolivia;391;484;93;9;52;1029
Tajikhistan;460;448;125;21;51;1105
Trinidad & Tobago;409;450;80;8;49;996
Turkmenistan;369;356;127;12;48;912
Montenegro;221;248;117;47;44;677
Namibia;491;598;116;10;43;1258
Dominika Rep.;267;407;66;5;43;788
Mozambik;359;507;153;51;42;1112
Kamerun;228;242;68;13;42;593
Jamaika;387;558;112;11;42;1110
Seychelles;238;353;72;8;42;713
Congo Rep. Dem.;172;158;43;6;41;420
Honduras;281;340;87;18;38;764
Mali;331;278;73;13;36;731
Gambia;308;299;57;11;36;711
Bostwana;276;382;98;0;35;791
Malagasy (Madagascar);479;492;102;4;34;1111
Solomon Islands;163;224;81;56;33;557
Suriname;318;353;48;13;33;765
El Salvador;225;306;48;3;33;615
Sierra Leona;367;312;74;8;32;793
Dominika;141;282;66;8;32;529
Burkina Faso;192;188;45;2;32;459
South Sudan;23;30;4;0;32;89
Angola;218;208;65;48;31;570
Andorra;203;235;26;2;31;497
Liechtenstein;215;412;45;10;30;712
St. Kitts & Nevis;149;243;57;6;30;485
Malawi;142;167;35;3;29;376
Eritrea;274;205;40;12;27;558
Paraguay;180;287;57;3;27;554
Comoros;180;304;51;10;26;571
Vanuatu;118;191;29;14;23;375
Bahama Islands;107;172;18;3;23;323
Togo;85;140;19;13;22;279
Chad;84;122;28;4;22;260
Monako;127;92;28;4;21;272
Guyana;67;88;17;2;20;194
Rwanda;138;151;33;1;20;343
Mauritania;166;158;41;13;19;397
Somalia;49;44;19;13;18;143
Barbados;94;103;25;1;18;241
San Marino;49;40;16;0;18;123
Lain-lain;79;22;21;6;16;144
Cape Verde;130;189;49;0;16;384
Niger;71;55;8;0;14;148
Benin;189;153;15;7;13;377
Grenadines (Grenada);102;89;28;2;12;233
Burundi;33;54;6;1;12;106
Gabon;81;153;20;2;11;267
St. Lucia;82;38;11;1;11;143
Tonga;132;138;23;8;10;311
Congo;37;82;7;4;10;140
Antigua & Barbuda;64;91;17;2;10;184
Macao;249;401;121;61;9;841
Guinea;65;56;25;7;9;162
Sao Tome & Principe;18;27;6;1;9;61
Djibouti;49;54;21;11;8;143
Nicaragua;118;165;30;2;8;323
Liberia;58;93;68;13;7;239
Afrika Tengah Rep.;14;170;7;2;6;199
Vatikan;31;35;5;2;6;79
Samoa;87;89;26;1;6;209
Lesotho;114;95;15;0;6;230
Haiti;71;102;22;3;5;203
Korea Utara;605;241;9;3;4;862
Belize;39;51;11;2;4;107
Palau Rep.;67;690;2;0;4;763
Guinea Equator;10;47;19;0;4;80
St. Vincent;28;32;12;0;3;75
Guinea Bissau;128;108;20;4;2;262
Republik Cosovo;28;73;3;0;2;106
Nauru;75;23;7;0;2;107
Aruba;0;81;24;0;1;106
Marshall Islands;44;27;7;0;1;79
Karibati (Kiribati);49;50;21;24;0;144
Zaire;1;1;2;9;0;13
Micronesia Rep.;41;11;1;2;0;55
Tibet;0;173;0;0;0;173
Wales;0;57;0;0;0;57
Tuvalu;27;18;6;0;0;51
Samoa Barat;8;17;1;0;0;26
Stateless;11;13;1;0;0;25
Hellenic;0;7;0;0;0;7
Puertorico;0;5;1;0;0;6
British Indian Ocean Teritory;0;4;0;0;0;4
Guiana;4;3;2;0;0;9
Scotlandia;1;3;1;0;0;5
Kaledonia;0;2;0;0;0;2
Sahara;0;2;0;0;0;2
Yugoslavia;1;1;1;0;0;3
Martinique;6;1;0;0;0;7
Volta Atas;0;1;0;0;0;1
St. Christopher;0;0;2;0;0;2
Guadelope;0;0;1;0;0;1
Cooks Islands;1;0;0;0;0;1
Alaska;0;0;0;0;0;0
Bermuda;0;0;0;0;0;0
Burkinabe;0;0;0;0;0;0
Cabinda;0;0;0;0;0;0
Falkland Islands;0;0;0;0;0;0
Guam;0;0;0;0;0;0
Maseru;0;0;0;0;0;0
Niue;0;0;0;0;0;0
Polynesia;0;0;0;0;0;0
Siberia;0;0;0;0;0;0
Walis & Futuna;0;0;0;0;0;0
Zomba;0;0;0;0;0;0
